[2018-06-29 18:41:52.6] >>Log file /home/guy/github/LocalSwitch/FamilyRoomWindow/F-RoomWindow.log was created successfully

log start @rpi2, IP:192.168.2.114, OS:linux, Name:F-RoomWindow
***************************************************************
[2018-06-29 18:41:53.2] [F-RoomWindow/Up] init [press mode][GPIO in/out:20/19] 
[2018-06-29 18:41:53.3] [F-RoomWindow/Down] init [press mode][GPIO in/out:21/26] 
[2018-06-29 18:41:53.3] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 18:41:53.3] [F-RoomWindow/Down] GPIO initialize successfully
[2018-06-29 18:41:54.8] [F-RoomWindow/Up] [WatchDog] init
[2018-06-29 18:41:55.8] [F-RoomWindow/Down] [WatchDog] init
[2018-06-29 18:41:55.8] [F-RoomWindow/Up] [Weekly Schedule] Schedule file read successfully
[2018-06-29 18:41:57.2] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/0] [Sunday, 05:50:00]  - [Sunday, 05:50:05]
[2018-06-29 18:41:57.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/1] [Monday, 05:50:00]  - [Monday, 05:50:05]
[2018-06-29 18:41:57.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/2] [Tuesday, 05:50:00]  - [Tuesday, 05:50:05]
[2018-06-29 18:41:57.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/3] [Wednesday, 05:50:00]  - [Wednesday, 05:50:05]
[2018-06-29 18:41:57.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/4] [Thursday, 05:50:00]  - [Thursday, 05:50:05]
[2018-06-29 18:41:57.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/5] [Friday, 05:50:00]  - [Friday, 05:50:05]
[2018-06-29 18:41:57.3] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/6] [Saturday, 05:50:00]  - [Saturday, 05:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/0] [Sunday, 06:50:00]  - [Sunday, 06:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/1] [Monday, 06:50:00]  - [Monday, 06:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/2] [Tuesday, 06:50:00]  - [Tuesday, 06:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/3] [Wednesday, 06:50:00]  - [Wednesday, 06:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/4] [Thursday, 06:50:00]  - [Thursday, 06:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/5] [Friday, 06:50:00]  - [Friday, 06:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#1/6] [Saturday, 06:50:00]  - [Saturday, 06:50:05]
[2018-06-29 18:41:57.4] [F-RoomWindow/Up] [Weekly Schedule] Task details [#2/0] [Sunday, 07:50:00]  - [Sunday, 07:50:05]
